number,name,impedance
1,Fp1,1
2,Fp2,1
3,F7,6
4,F3,3
5,Fz,5
6,F4,3
7,F8,4
8,FC5,16
9,FC1,9
10,FC2,13
11,FC6,13
12,T7,14
13,C3,5
14,Cz,3
15,C4,10
16,T8,6
17,TP9,12
18,CP5,3
19,CP1,4
20,CP2,1
21,CP6,12
22,TP10,16
23,P7,7
24,P3,2
25,Pz,1
26,P4,14
27,P8,15
28,PO9,12
29,O1,6
30,Oz,3
31,O2,15
32,PO10,9
33,AF7,1
34,AF3,2
35,AF4,1
36,AF8,2
37,F5,8
38,F1,3
39,F2,8
40,F6,4
41,FT9,2
42,FT7,9
43,FC3,12
44,FC4,8
45,FT8,2
46,FT10,8
47,C5,5
48,C1,6
49,C2,5
50,C6,7
51,TP7,6
52,CP3,13
53,CPz,5
54,CP4,10
55,TP8,17
56,P5,14
57,P1,1
58,P2,1
59,P6,14
60,PO7,13
61,PO3,1
62,POz,0
63,PO4,11
64,PO8,12
