event_time,event_offset,event_type,subj_id,subj_num,list_num,word,ser_pos,pres_num,test_pos,freq,strength,num_pres,type,test_resp,test_resp_int,resp_correct,resp_time,p1_ser_pos,p1_event_time,p2_ser_pos,p2_event_time,p3_ser_pos,p3_event_time,p4_ser_pos,p4_event_time,p5_ser_pos,p5_event_time,eoffset,esrc
1320936674705,1,TEST_WORD,ir_eeg_002,20,1,SHALL,0,0,2,HI,NA,0,LURE,OLD,1,False,272,0,0,0,0,0,0,0,0,0,0,378.59828833,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936680486,1,TEST_WORD,ir_eeg_002,20,1,HEAVY,0,0,5,HI,WEAK,1,TARGET,OLD,1,True,747,8,1320936531799,0,0,0,0,0,0,0,0,384.379293945,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936687684,1,TEST_WORD,ir_eeg_002,20,1,VESTS,0,0,8,LO,NA,0,LURE,NEW,0,True,701,0,0,0,0,0,0,0,0,0,0,391.577301025,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936689949,1,TEST_WORD,ir_eeg_002,20,1,GROUP,0,0,9,HI,NA,0,LURE,NEW,0,True,629,0,0,0,0,0,0,0,0,0,0,393.842303223,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936692432,1,TEST_WORD,ir_eeg_002,20,1,BRIBES,0,0,10,LO,WEAK,1,TARGET,OLD,1,True,528,39,1320936597479,0,0,0,0,0,0,0,0,396.325305664,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936694997,1,TEST_WORD,ir_eeg_002,20,1,LEAKED,0,0,11,LO,STRONG,3,TARGET,OLD,1,True,540,24,1320936566272,27,1320936572753,54,1320936629635,0,0,0,0,398.890308105,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936697414,1,TEST_WORD,ir_eeg_002,20,1,DESK,0,0,12,HI,STRONG,3,TARGET,OLD,1,True,731,4,1320936523519,38,1320936595496,53,1320936627586,0,0,0,0,401.307310547,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936699613,1,TEST_WORD,ir_eeg_002,20,1,SOOT,0,0,13,LO,STRONG,3,TARGET,OLD,1,True,612,6,1320936527701,28,1320936574902,49,1320936619088,0,0,0,0,403.506312744,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936701945,1,TEST_WORD,ir_eeg_002,20,1,WEIRD,0,0,14,HI,NA,0,LURE,NEW,0,True,664,0,0,0,0,0,0,0,0,0,0,405.838314941,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
1320936704445,1,TEST_WORD,ir_eeg_002,20,1,NINE,0,0,15,HI,WEAK,1,TARGET,OLD,1,True,868,21,1320936559874,0,0,0,0,0,0,0,0,408.338317383,<ptsa.data.hdf5wrapper.HDF5Wrapper object at 0x7f369bf924d0>
